Period,Serie,Värde
2010-04-01,1 EUR,9.7365
2010-04-06,1 EUR,9.6585
2010-04-07,1 EUR,9.646
2010-04-08,1 EUR,9.7035
2010-04-09,1 EUR,9.664
2010-04-12,1 EUR,9.7595
2010-04-13,1 EUR,9.7735
2010-04-14,1 EUR,9.746
2010-04-15,1 EUR,9.703
2010-04-16,1 EUR,9.688
2010-04-19,1 EUR,9.728
2010-04-20,1 EUR,9.6635
2010-04-21,1 EUR,9.6255
2010-04-22,1 EUR,9.6285
2010-04-23,1 EUR,9.613
2010-04-26,1 EUR,9.5815
2010-04-27,1 EUR,9.5835
2010-04-28,1 EUR,9.65
2010-04-29,1 EUR,9.636
2010-04-30,1 EUR,9.609
2010-05-03,1 EUR,9.6385
2010-05-04,1 EUR,9.5865
2010-05-05,1 EUR,9.6315
2010-05-06,1 EUR,9.7345
2010-05-07,1 EUR,9.855
2010-05-10,1 EUR,9.6875
2010-05-11,1 EUR,9.6235
2010-05-12,1 EUR,9.613
2010-05-14,1 EUR,9.5575
2010-05-17,1 EUR,9.5865
2010-05-18,1 EUR,9.5575
2010-05-19,1 EUR,9.5825
2010-05-20,1 EUR,9.6825
2010-05-21,1 EUR,9.8595
2010-05-24,1 EUR,9.767
2010-05-25,1 EUR,9.827
2010-05-26,1 EUR,9.781
2010-05-27,1 EUR,9.6685
2010-05-28,1 EUR,9.6755
2010-05-31,1 EUR,9.6325
2010-06-01,1 EUR,9.6385
2010-06-02,1 EUR,9.558
2010-06-03,1 EUR,9.522
2010-06-04,1 EUR,9.517
2010-06-07,1 EUR,9.63
2010-06-08,1 EUR,9.6415
2010-06-09,1 EUR,9.62
2010-06-10,1 EUR,9.6035
2010-06-11,1 EUR,9.5595
2010-06-14,1 EUR,9.562
2010-06-15,1 EUR,9.6375
2010-06-16,1 EUR,9.582
2010-06-17,1 EUR,9.6195
2010-06-18,1 EUR,9.5615
2010-06-21,1 EUR,9.505
2010-06-22,1 EUR,9.532
2010-06-23,1 EUR,9.5285
2010-06-24,1 EUR,9.53
2010-06-28,1 EUR,9.548
2010-06-29,1 EUR,9.535
2010-06-30,1 EUR,9.5005
2010-07-01,1 EUR,9.5655
2010-07-02,1 EUR,9.604
2010-07-05,1 EUR,9.5825
2010-07-06,1 EUR,9.635
2010-07-07,1 EUR,9.6245
2010-07-08,1 EUR,9.5535
2010-07-09,1 EUR,9.5325
2010-07-12,1 EUR,9.4645
2010-07-13,1 EUR,9.417
2010-07-14,1 EUR,9.4145
2010-07-15,1 EUR,9.4125
2010-07-16,1 EUR,9.456
2010-07-19,1 EUR,9.529
2010-07-20,1 EUR,9.5075
2010-07-21,1 EUR,9.475
2010-07-22,1 EUR,9.45
2010-07-23,1 EUR,9.4105
2010-07-26,1 EUR,9.4655
2010-07-27,1 EUR,9.454
2010-07-28,1 EUR,9.4945
2010-07-29,1 EUR,9.479
2010-07-30,1 EUR,9.4495
2010-08-02,1 EUR,9.382
2010-08-03,1 EUR,9.3645
2010-08-04,1 EUR,9.3905
2010-08-05,1 EUR,9.4055
2010-08-06,1 EUR,9.3835
2010-08-09,1 EUR,9.401
2010-08-10,1 EUR,9.41
2010-08-11,1 EUR,9.471
2010-08-12,1 EUR,9.486
2010-08-13,1 EUR,9.477
2010-08-16,1 EUR,9.515
2010-08-17,1 EUR,9.4245
2010-08-18,1 EUR,9.4355
2010-08-19,1 EUR,9.443
2010-08-20,1 EUR,9.469
2010-08-23,1 EUR,9.413
2010-08-24,1 EUR,9.4045
2010-08-25,1 EUR,9.463
2010-08-26,1 EUR,9.412
2010-08-27,1 EUR,9.4005
2010-08-30,1 EUR,9.3955
2010-08-31,1 EUR,9.4015
2010-09-01,1 EUR,9.356
2010-09-02,1 EUR,9.336
2010-09-03,1 EUR,9.3045
2010-09-06,1 EUR,9.299
2010-09-07,1 EUR,9.3085
2010-09-08,1 EUR,9.2955
2010-09-09,1 EUR,9.2535
2010-09-10,1 EUR,9.2215
2010-09-13,1 EUR,9.1825
2010-09-14,1 EUR,9.2155
2010-09-15,1 EUR,9.206
2010-09-16,1 EUR,9.215
2010-09-17,1 EUR,9.2175
2010-09-20,1 EUR,9.2175
2010-09-21,1 EUR,9.1325
2010-09-22,1 EUR,9.121
2010-09-23,1 EUR,9.1935
2010-09-24,1 EUR,9.206
2010-09-27,1 EUR,9.162
2010-09-28,1 EUR,9.2615
2010-09-29,1 EUR,9.1465
2010-09-30,1 EUR,9.16
2010-10-01,1 EUR,9.157
2010-10-04,1 EUR,9.2495
2010-10-05,1 EUR,9.259
2010-10-06,1 EUR,9.2245
2010-10-07,1 EUR,9.334
2010-10-08,1 EUR,9.291
2010-10-11,1 EUR,9.26
2010-10-12,1 EUR,9.2635
2010-10-13,1 EUR,9.2615
2010-10-14,1 EUR,9.215
2010-10-15,1 EUR,9.2295
2010-10-18,1 EUR,9.278
2010-10-19,1 EUR,9.299
2010-10-20,1 EUR,9.3315
2010-10-21,1 EUR,9.2795
2010-10-22,1 EUR,9.28
2010-10-25,1 EUR,9.2075
2010-10-26,1 EUR,9.227
2010-10-27,1 EUR,9.3455
2010-10-28,1 EUR,9.315
2010-10-29,1 EUR,9.3985
2010-11-01,1 EUR,9.2845
2010-11-02,1 EUR,9.277
2010-11-03,1 EUR,9.335
2010-11-04,1 EUR,9.2875
2010-11-05,1 EUR,9.285
2010-11-08,1 EUR,9.2735
2010-11-09,1 EUR,9.35
2010-11-10,1 EUR,9.3115
2010-11-11,1 EUR,9.297
2010-11-12,1 EUR,9.3775
2010-11-15,1 EUR,9.4155
2010-11-16,1 EUR,9.351
2010-11-17,1 EUR,9.413
2010-11-18,1 EUR,9.371
2010-11-19,1 EUR,9.3865
2010-11-22,1 EUR,9.378
2010-11-23,1 EUR,9.3915
2010-11-24,1 EUR,9.3385
2010-11-25,1 EUR,9.279
2010-11-26,1 EUR,9.273
2010-11-29,1 EUR,9.2395
2010-11-30,1 EUR,9.1835
2010-12-01,1 EUR,9.137
2010-12-02,1 EUR,9.1665
2010-12-03,1 EUR,9.131
2010-12-06,1 EUR,9.1175
2010-12-07,1 EUR,9.1145
2010-12-08,1 EUR,9.149
2010-12-09,1 EUR,9.1165
2010-12-10,1 EUR,9.1205
2010-12-13,1 EUR,9.127
2010-12-14,1 EUR,9.149
2010-12-15,1 EUR,9.0965
2010-12-16,1 EUR,9.0665
2010-12-17,1 EUR,9.0095
2010-12-20,1 EUR,9.011
2010-12-21,1 EUR,8.987
2010-12-22,1 EUR,8.963
2010-12-23,1 EUR,8.9885
2010-12-27,1 EUR,8.9795
2010-12-28,1 EUR,8.9715
2010-12-29,1 EUR,8.991
2010-12-30,1 EUR,9.002
2011-01-03,1 EUR,8.95
2011-01-04,1 EUR,8.9585
2011-01-05,1 EUR,8.937
2011-01-07,1 EUR,8.9175
2011-01-10,1 EUR,8.934
2011-01-11,1 EUR,8.887
2011-01-12,1 EUR,8.875
2011-01-13,1 EUR,8.8655
2011-01-14,1 EUR,8.9735
2011-01-17,1 EUR,8.905
2011-01-18,1 EUR,8.904
2011-01-19,1 EUR,8.9275
2011-01-20,1 EUR,8.9245
2011-01-21,1 EUR,8.9905
2011-01-24,1 EUR,8.9705
2011-01-25,1 EUR,8.941
2011-01-26,1 EUR,8.9155
2011-01-27,1 EUR,8.8375
2011-01-28,1 EUR,8.8545
2011-01-31,1 EUR,8.898
2011-02-01,1 EUR,8.8065
2011-02-02,1 EUR,8.8215
2011-02-03,1 EUR,8.8745
2011-02-04,1 EUR,8.803
2011-02-07,1 EUR,8.8
2011-02-08,1 EUR,8.77
2011-02-09,1 EUR,8.7855
2011-02-10,1 EUR,8.825
2011-02-11,1 EUR,8.8265
2011-02-14,1 EUR,8.7855
2011-02-15,1 EUR,8.758
2011-02-16,1 EUR,8.7525
2011-02-17,1 EUR,8.729
2011-02-18,1 EUR,8.717
2011-02-21,1 EUR,8.7615
2011-02-22,1 EUR,8.8285
2011-02-23,1 EUR,8.792
2011-02-24,1 EUR,8.8175
2011-02-25,1 EUR,8.8135
2011-02-28,1 EUR,8.818
2011-03-01,1 EUR,8.7095
2011-03-02,1 EUR,8.7285
2011-03-03,1 EUR,8.746
2011-03-04,1 EUR,8.8135
2011-03-07,1 EUR,8.89
2011-03-08,1 EUR,8.872
2011-03-09,1 EUR,8.8335
2011-03-10,1 EUR,8.815
2011-03-11,1 EUR,8.8305
2011-03-14,1 EUR,8.851
2011-03-15,1 EUR,8.919
2011-03-16,1 EUR,8.958
2011-03-17,1 EUR,9.0105
2011-03-18,1 EUR,8.976
2011-03-21,1 EUR,8.881
2011-03-22,1 EUR,8.9145
